S.No.,"Code
No.",Course Name,Credits,Faculty Name(s)
75.,HS0.210,"Literature and the Ethics of telling
a Story (H1)",3-0-0-2,Sushmita Banerji
76.,SC4.411,Machine Learning for Natural Sciences,3-1-0-4,Prabhakar B + Vinod PK
77.,CS7.301,"Machine, Data and Learning",3-1-0-4,Vikram Pudi + Praveen P
78.,HS8.101,Making of the Contemporary World,3-1-0-4,Anirban Dasgupta + Isha Dubey
79.,SC3.316,Mathematical Methods in Biology,3-1-0-4,Abhishek Deshpande
80.,CS7.508,"Mathematics of Generative
Models",3-1-0-4,Pawan Kumar
81.,EC4.404,Mechatronics System Design,3-1-0-4,Nagamanikandan + Harikumar K
82.,EC4.201,"Mechatronics System Design? 1
(H1)",3-1-0-2,Nagamanikandan + Harikumar K
83.,HS3.305,Migrants and Migrations in Modern South Asia,3-1-0-4,Isha Dubey
84.,SC2.316,Molecular Modeling and Simulations,3-1-0-4,Deva Priyakumar + Marimuthu Krishnan
85.,SC2.315,Molecular Symmetry and Quantum Mechanics,3-1-0-4,Harjinder Singh
86.,HS1.210,Music Workshop (30),3-1-0-4,TK Saroja
87.,CS9.434,"Music, Mind, and Technology
(Open Elective)",3-1-0-4,Vinoo Alluri
88.,CL3.407,"Neural Natural Language
Generation (H1)",3-1-0-2,"Manish Shrivastava + Rahul
Mishra"
89.,CS3.502,Neuroinformatics,3-1-0-4,Vishnu Sreekumar
90.,SC3.410,NGS Data Analysis,3-1-0-4,Nita Parekh
91.,CS1.306,Numerical Algorithms (H2),3-1-0-2,Pawan Kumar
92.,CS1.404,Optimization Methods,3-1-0-4,Naresh Manwani
93.,SC2.202,Organic Chemistry (H1),3-1-0-2,Prabhakar Bhimalapuram
94.,PD2.423,Organizational Operations (H2),3-1-0-2,Santanu Mandal
95.,CS3.307,"Performance Modeling of
Computer Systems (H1)",3-1-0-2,Tejas Bodas
96.,SC2.301,Physics of Soft Condensed Matter,3-1-0-4,Marimuthu Krishnan
97.,CS8.401,Principles of Information Security,3-1-0-4,Kannan Srinathan
98.,PD1.411,Product Design Workshop (H),3-1-0-2,Prakash Yalla
99.,PD2.502,Product Lifecycle Management,3-1-0-4,Ravi Warrier
100.,CS1.409,Quantum Algorithms,3-1-0-4,Shantanav Chakraborty
101.,HS1.302,Readings in Russian Literature: The Nineteenth Century,3-1-0-4,Nazia Akhtar
102.,CS9.314,Remote Sensing,3-1-0-4,RC Prasad
103.,HS0.302,Research Methods in Human Sciences,3-1-0-4,Anirban Dasgupta + Isha Dubey
104.,CS7.405,Responsible & Safe AI Systems,3-1-0-4,Ponnurangam Kumaraguru
105.,EC4.403,Robotics: Planning and Navigation,3-1-0-4,Madhava Krishna K
106.,HS0.207,Science and Technology: Critical Perspectives (H2),3-0-0-2,Saurabh Todariya
107.,SC1.111,Science II,3-1-0-4,Nita Parekh + Chittaranjan Hens
108.,SC4.111,Science Lab II (H1),0-0-3-2,"Tapan Kumar Sau + Chittaranjan
Hens"
109.,HS7.301,"Science, Technology and Society",3-1-0-4,Radhika Krishnan
110.,CS6.401,Software Engineering,3-1-0-4,Karthik Vaidhyanathan
111.,CS3.302,"Software Programming for
Performance (H2)",3-1-0-2,Suresh Purini
112.,CS4.410,Spatial Data Sciences,3-1-0-4,KS Rajan
